Code,Article,Description,Price ,Department
HGR04,10679364,BARB-DREAMTOPIA DOLL ASST HGR04,"99,900 ",GIRLS CONSIGNMENT
6075309,10676823,PWPT-6.5 INCH BASIC PLUSH ASST 6075309,"149,900 ",BABIES CONSIGNMENT
6074594,10676822,PWPT-5 INCH PILLOW PLUSH ASST 6074594,"34,900 ",BABIES CONSIGNMENT
740228,10676894,CRAY-SCRIBBLE SCRUBBIE SPRY BTQ 740228,"899,900 ",EDUCATION CONSIGNMENT
HXT96,10678277,FICE-WOODEN DOMINO RUN PLAYSET HXT96,"539,900 ",BABIES CONSIGNMENT
JFD92,10678278,FICE-PURPLE MONKEY WALKER JFD92,"659,900 ",BABIES CONSIGNMENT
JDF26,10678279,THOM-MTR LOAD LAUNCH BARREL DELIV JDF26,"999,900 ",BABIES CONSIGNMENT
JDB49,10676104,HOTW-TRACK CREATOR BOOST JUMP KIT JDB49,"749,900 ",BOYS CONSIGNMENT
JBH03,10676102,HOTW-HW MT RC 1/15 RAGEASAUR JBH03,"849,900 ",BOYS CONSIGNMENT
JBM74,10676103,HOTW-HW CITY MEGA LOOP GARAGE JBM74,"999,900 ",BOYS CONSIGNMENT
JGF64,10670349,HOTW-HW DREAM MOBILE JGF64,"35,900 ",BOYS CONSIGNMENT
JFP40,10675512,BARB-DELUXE STYLE DOLL JFP40,"349,900 ",GIRLS CONSIGNMENT
HLX04,10675513,DISP-FROZEN CLASSIC STORY BOOK SET HLX04,"639,900 ",GIRLS CONSIGNMENT
JDP63,10675514,DISP-FROZEN ELSA CASTLE JDP63,"579,900 ",GIRLS CONSIGNMENT
JCR95,10674875,DISP-CINDERELLA 2IN1 STORIES JCR95,"639,900 ",GIRLS CONSIGNMENT
JDP54,10674876,DISP-BELLE CASTLE JDP54,"599,900 ",GIRLS CONSIGNMENT
JBL32,10674874,DISP-ARIEL CLASSIC STORYBOOK SET JBL32,"639,900 ",GIRLS CONSIGNMENT
JBG09,10674873,DISP-RAPUNZEL 2IN1 STORIES JBG09,"639,900 ",GIRLS CONSIGNMENT
JBF86,10674872,DISP-VANITY POP ARIEL DOLL JBF86,"599,900 ",GIRLS CONSIGNMENT
JFC39,10675517,DISP-PRINCESS OCEAN FRIENDS ARIEL JFC39,"539,900 ",GIRLS CONSIGNMENT
JBG04,10675516,DISP-PRINCESS PARTY DRESSDOLL ASST JBG04,"159,900 ",GIRLS CONSIGNMENT
JDP65,10675515,DISP-FROZEN ANNA CASTLE JDP65,"579,900 ",GIRLS CONSIGNMENT
GKW58,10675471,FICE-FP ROCK A STACK GKW58,"129,900 ",BABIES CONSIGNMENT
MC9018,10676101,MIFT-MINECRAFT CAPSULE MC9018,"199,900 ",BOYS CONSIGNMENT
6600,10676601,EMCX-SANRIO SURPRISE PACK SERIES 4 6600,"39,900 ",GIRLS CONSIGNMENT
JDP54,10674876,DISP-BELLE CASTLE JDP54,"599,900 ",GIRLS CONSIGNMENT
JBF86,10674872,DISP-VANITY POP ARIEL DOLL JBF86,"599,900 ",GIRLS CONSIGNMENT
JCR95,10674875,DISP-CINDERELLA 2IN1 STORIES JCR95,"639,900 ",GIRLS CONSIGNMENT
JBL32,10674874,DISP-ARIEL CLASSIC STORYBOOK SET JBL32,"639,900 ",GIRLS CONSIGNMENT
JBG09,10674873,DISP-RAPUNZEL 2IN1 STORIES JBG09,"639,900 ",GIRLS CONSIGNMENT
HPK28,10674937,HOTW-HW MT RC 1/6 MEGA WREX HPK28,"2,499,900 ",BOYS CONSIGNMENT
22910,10676469,BITZ-BITZEE JURASSIC WORLD 22910,"999,900 ",GIRLS CONSIGNMENT
6074401,10676105,GABB-MOVIE AQUARIUM PLAYSET 6074401, - ,GIRLS CONSIGNMENT
6074338,10676106,GABB-MOVIE FEATURE MERMAID DOLL 6074338,"949,900 ",GIRLS CONSIGNMENT
6072633,10676107,GABB-MOVIE FIGURES GIFTSET 6072633,"579,900 ",GIRLS CONSIGNMENT
6072884,10676108,GABB-MOVIE 2PACK FIGURE ASST 6072884,"219,900 ",GIRLS CONSIGNMENT
6074339,10676109,GABB-MOVIE DELUXE DOLLHOUSE 6074339,"3,499,900 ",GIRLS CONSIGNMENT
6073662,10676110,GABB-MOVIE BALCONY ASST 6073662,"349,900 ",GIRLS CONSIGNMENT
6074119,10676111,GABB-MOVIE CONFECTION PLYSET WLMX6074119,"779,900 ",GIRLS CONSIGNMENT
6072921,10676112,GABB-MOVIE PORTAL ROOMS ASST 6072921,"479,900 ",GIRLS CONSIGNMENT
6074334,10676113,GABB- MOVIE DOLLHOUSE SLD 6074334,"1,799,900 ",GIRLS CONSIGNMENT
6073661,10676114,GABB-MOVIE FEATURE PLUSH 6073661,"819,900 ",GIRLS CONSIGNMENT
6074336,10676115,GABB-MOVIE MUSICAL EARS 6074336,"529,900 ",GIRLS CONSIGNMENT
22908,10676381,BITZ-BITZEE HAMSTER BALL 22908,"1,199,900 ",GIRLS CONSIGNMENT
6070887,10673224,,"499,900 ",BOYS CONSIGNMENT
6072728,10673225,,"1,499,900 ",BOYS CONSIGNMENT
26673,10672625,LLPX-MAMA SURPRISE S1 BABYCARE CLI 26673,"499,900 ",GIRLS CONSIGNMENT
26659,10672624,LLPX-MAMA SURPRISE S1 MAMAS HOUSE 26659,"259,900 ",GIRLS CONSIGNMENT
26658,10672623,LLPX-MAMA SURPRISE S1 ADOPTION 26658,"99,900 ",GIRLS CONSIGNMENT
26722,10672619,LLPX-GOTTA GO S4 GIRAFFE 26722,"899,900 ",GIRLS CONSIGNMENT
26611,10672621,LLPX-MY REALLY REAL S2 PUPPY MINI 26611,"399,900 ",GIRLS CONSIGNMENT
